Debut: 198
Fin: 425
286 -> 257
286 -> 408
287 -> 22
287 -> 207
215 <- 287
287 -> 244
287 -> 305
439 <- 287
457 <- 287
287 -> 466
475 <- 287
288 -> 69
73 <- 288
288 -> 99
288 -> 156
174 <- 288
288 -> 177
228 <- 288
306 <- 288
288 -> 359
394 <- 288
289 -> 8
289 -> 105
136 <- 289
289 -> 236
289 -> 391
289 -> 444
496 <- 289
290 -> 98
124 <- 290
290 -> 144
290 -> 147
290 -> 226
290 -> 233
290 -> 251
290 -> 377
290 -> 406
474 <- 290
290 -> 489
1 <- 291
4 <- 291
16 <- 291
291 -> 46
291 -> 58
291 -> 91
162 <- 291
291 -> 240
291 -> 308
291 -> 472
292 -> 120
170 <- 292
292 -> 198
215 <- 292
292 -> 442
293 -> 125
148 <- 293
293 -> 210
293 -> 223
278 <- 293
293 -> 363
293 -> 372
293 -> 412
432 <- 293
454 <- 293
294 -> 8
39 <- 294
322 <- 294
294 -> 364
377 <- 294
427 <- 294
294 -> 435
452 <- 294
478 <- 294
294 -> 481
28 <- 295
42 <- 295
158 <- 295
185 <- 295
287 <- 295
291 <- 295
320 <- 295
295 -> 331
295 -> 359
295 -> 419
295 -> 488
111 <- 296
155 <- 296
296 -> 285
296 -> 328
296 -> 414
16 <- 297
297 -> 28
297 -> 70
79 <- 297
297 -> 139
297 -> 149
185 <- 297
297 -> 191
297 -> 293
370 <- 297
297 -> 478
298 -> 128
298 -> 147
298 -> 214
298 -> 217
224 <- 298
299 -> 83
299 -> 88
109 <- 299
299 -> 189
222 <- 299
299 -> 277
289 <- 299
299 -> 368
299 -> 400
299 -> 407
31 <- 300
60 <- 300
300 -> 89
125 <- 300
165 <- 300
189 <- 300
300 -> 253
306 <- 300
300 -> 389
300 -> 401
436 <- 300
300 -> 450
300 -> 461
78 <- 301
301 -> 222
437 <- 301
301 -> 445
301 -> 458
32 <- 302
68 <- 302
88 <- 302
211 <- 302
302 -> 217
302 -> 219
302 -> 261
302 -> 283
303 -> 134
146 <- 303
303 -> 218
269 <- 303
303 -> 292
303 -> 340
405 <- 303
34 <- 304
59 <- 304
304 -> 131
304 -> 180
192 <- 304
331 <- 304
304 -> 352
304 -> 369
385 <- 304
304 -> 452
305 -> 36
305 -> 67
305 -> 168
287 <- 305
305 -> 415
476 <- 305
492 <- 305
27 <- 306
93 <- 306
306 -> 214
385 <- 306
307 -> 59
64 <- 307
162 <- 307
209 <- 307
362 <- 307
389 <- 307
307 -> 395
307 -> 430
437 <- 307
468 <- 307
484 <- 307
104 <- 308
107 <- 308
308 -> 126
308 -> 170
308 -> 173
299 <- 308
475 <- 308
495 <- 308
309 -> 0
258 <- 309
309 -> 339
466 <- 309
310 -> 6
310 -> 82
310 -> 113
310 -> 128
310 -> 162
310 -> 192
310 -> 251
310 -> 253
257 <- 310
326 <- 310
437 <- 310
310 -> 483
74 <- 311
113 <- 311
311 -> 132
188 <- 311
311 -> 232
311 -> 302
371 <- 311
474 <- 311
311 -> 497
312 -> 19
56 <- 312
312 -> 184
312 -> 285
291 <- 312
312 -> 347
313 -> 131
203 <- 313
313 -> 223
325 <- 313
313 -> 337
485 <- 313
489 <- 313
6 <- 314
126 <- 314
144 <- 314
161 <- 314
224 <- 314
314 -> 283
393 <- 314
11 <- 315
315 -> 78
187 <- 315
315 -> 282
315 -> 347
315 -> 433
315 -> 486
316 -> 22
316 -> 90
201 <- 316
232 <- 316
280 <- 316
350 <- 316
316 -> 470
93 <- 317
285 <- 317
426 <- 317
317 -> 496
318 -> 54
72 <- 318
318 -> 83
129 <- 318
220 <- 318
318 -> 302
355 <- 318
318 -> 404
319 -> 10
170 <- 319
319 -> 467
320 -> 231
320 -> 281
320 -> 327
355 <- 320
422 <- 320
461 <- 320
321 -> 8
321 -> 190
266 <- 321
307 <- 321
450 <- 321
321 -> 460
322 -> 1
322 -> 30
66 <- 322
210 <- 322
233 <- 322
412 <- 322
322 -> 449
451 <- 322
176 <- 323
179 <- 323
265 <- 323
307 <- 323
323 -> 368
427 <- 323
323 -> 430
323 -> 461
469 <- 323
473 <- 323
34 <- 324
69 <- 324
324 -> 74
324 -> 111
324 -> 163
324 -> 192
324 -> 238
324 -> 334
324 -> 454
494 <- 324
76 <- 325
325 -> 254
325 -> 273
325 -> 410
325 -> 448
476 <- 325
325 -> 487
326 -> 240
310 <- 326
326 -> 463
489 <- 326
327 -> 40
362 <- 327
327 -> 418
442 <- 327
472 <- 327
328 -> 20
328 -> 42
165 <- 328
16 <- 329
329 -> 53
329 -> 138
330 -> 155
330 -> 262
330 -> 453
463 <- 330
331 -> 35
72 <- 331
90 <- 331
331 -> 109
331 -> 131
139 <- 331
331 -> 202
295 <- 331
331 -> 422
496 <- 331
332 -> 56
332 -> 114
137 <- 332
355 <- 332
332 -> 360
332 -> 432
458 <- 332
490 <- 332
1 <- 333
333 -> 131
134 <- 333
186 <- 333
333 -> 187
222 <- 333
240 <- 333
333 -> 427
446 <- 333
32 <- 334
334 -> 131
308 <- 334
355 <- 334
37 <- 335
103 <- 335
335 -> 106
120 <- 335
124 <- 335
378 <- 335
459 <- 335
24 <- 336
336 -> 87
336 -> 145
336 -> 172
336 -> 270
305 <- 336
469 <- 336
337 -> 53
284 <- 337
313 <- 337
427 <- 337
337 -> 446
33 <- 338
198 <- 338
338 -> 240
338 -> 249
270 <- 338
338 -> 395
338 -> 469
488 <- 338
339 -> 43
104 <- 339
185 <- 339
304 <- 339
371 <- 339
339 -> 463
85 <- 340
340 -> 98
340 -> 241
340 -> 259
340 -> 368
340 -> 370
340 -> 375
340 -> 407
340 -> 475
341 -> 106
341 -> 144
341 -> 199
222 <- 341
266 <- 341
341 -> 268
341 -> 274
329 <- 341
341 -> 401
341 -> 454
33 <- 342
342 -> 54
153 <- 342
342 -> 172
192 <- 342
202 <- 342
222 <- 342
342 -> 238
342 -> 271
342 -> 405
69 <- 343
110 <- 343
343 -> 133
343 -> 405
424 <- 343
452 <- 343
476 <- 343
491 <- 343
344 -> 19
344 -> 30
344 -> 56
344 -> 183
344 -> 190
344 -> 263
350 <- 344
229 <- 345
345 -> 355
345 -> 488
345 -> 489
186 <- 346
196 <- 346
205 <- 346
346 -> 374
430 <- 346
347 -> 26
347 -> 131
347 -> 181
347 -> 204
347 -> 315
351 <- 347
347 -> 394
430 <- 347
348 -> 25
348 -> 45
348 -> 178
366 <- 348
348 -> 394
348 -> 461
348 -> 496
498 <- 348
349 -> 16
349 -> 23
66 <- 349
349 -> 79
349 -> 129
233 <- 349
349 -> 326
405 <- 349
433 <- 349
350 -> 54
78 <- 350
221 <- 350
224 <- 350
304 <- 350
336 <- 350
350 -> 341
8 <- 351
351 -> 73
351 -> 83
168 <- 351
351 -> 222
351 -> 296
351 -> 347
351 -> 354
351 -> 450
472 <- 351
352 -> 109
352 -> 196
352 -> 441
150 <- 353
353 -> 222
295 <- 353
315 <- 353
319 <- 353
353 -> 380
353 -> 412
353 -> 419
460 <- 353
15 <- 354
27 <- 354
90 <- 354
354 -> 201
332 <- 354
351 <- 354
354 -> 368
354 -> 398
408 <- 354
477 <- 354
354 -> 489
27 <- 355
355 -> 75
101 <- 355
186 <- 355
234 <- 355
324 <- 355
355 -> 362
381 <- 355
454 <- 355
488 <- 355
80 <- 356
356 -> 180
222 <- 356
356 -> 279
485 <- 356
357 -> 48
357 -> 54
357 -> 68
357 -> 71
357 -> 93
102 <- 357
114 <- 357
357 -> 120
357 -> 168
234 <- 357
357 -> 330
358 -> 147
218 <- 358
358 -> 279
359 -> 4
359 -> 40
359 -> 135
359 -> 217
359 -> 228
293 <- 359
359 -> 311
392 <- 359
359 -> 493
359 -> 497
147 <- 360
360 -> 150
360 -> 197
360 -> 332
478 <- 360
497 <- 360
46 <- 361
80 <- 361
112 <- 361
361 -> 253
361 -> 405
361 -> 451
361 -> 454
362 -> 45
250 <- 362
362 -> 327
362 -> 355
451 <- 362
363 -> 23
363 -> 30
97 <- 363
363 -> 118
126 <- 363
137 <- 363
293 <- 363
363 -> 335
2 <- 364
53 <- 364
364 -> 132
153 <- 364
485 <- 364
365 -> 10
365 -> 104
155 <- 365
365 -> 179
365 -> 226
36 <- 366
366 -> 45
366 -> 85
366 -> 105
366 -> 171
366 -> 179
263 <- 366
366 -> 348
372 <- 366
382 <- 366
464 <- 366
366 -> 474
367 -> 85
95 <- 367
367 -> 170
194 <- 367
234 <- 367
261 <- 367
362 <- 367
463 <- 367
367 -> 472
479 <- 367
367 -> 495
368 -> 75
368 -> 105
144 <- 368
156 <- 368
239 <- 368
368 -> 243
368 -> 262
368 -> 323
368 -> 384
39 <- 369
369 -> 338
369 -> 341
382 <- 369
369 -> 467
0 <- 370
94 <- 370
148 <- 370
268 <- 370
370 -> 286
227 <- 371
371 -> 311
371 -> 316
372 <- 371
372 -> 138
210 <- 372
372 -> 252
372 -> 300
372 -> 328
366 <- 372
371 <- 372
401 <- 372
484 <- 372
372 -> 493
86 <- 373
200 <- 373
373 -> 437
459 <- 373
374 -> 45
109 <- 374
146 <- 374
253 <- 374
374 -> 269
374 -> 276
372 <- 374
374 -> 379
383 <- 374
374 -> 446
27 <- 375
256 <- 375
375 -> 345
463 <- 375
375 -> 491
97 <- 376
376 -> 111
376 -> 285
328 <- 376
383 <- 376
377 -> 85
377 -> 113
129 <- 377
156 <- 377
377 -> 167
377 -> 294
328 <- 377
377 -> 415
377 -> 469
378 -> 10
378 -> 68
106 <- 378
378 -> 160
378 -> 195
378 -> 325
344 <- 378
360 <- 378
367 <- 378
28 <- 379
91 <- 379
379 -> 149
200 <- 379
278 <- 379
379 -> 412
379 -> 466
495 <- 379
27 <- 380
45 <- 380
380 -> 141
380 -> 150
380 -> 157
380 -> 299
332 <- 380
353 <- 380
432 <- 380
29 <- 381
381 -> 142
381 -> 190
223 <- 381
70 <- 382
382 -> 126
382 -> 129
149 <- 382
157 <- 382
382 -> 248
382 -> 290
382 -> 342
395 <- 382
62 <- 383
66 <- 383
383 -> 86
170 <- 383
383 -> 355
368 <- 383
376 <- 383
494 <- 383
124 <- 384
147 <- 384
152 <- 384
399 <- 384
384 -> 466
479 <- 384
385 -> 22
59 <- 385
145 <- 385
146 <- 385
385 -> 262
385 -> 306
378 <- 385
393 <- 385
386 -> 2
386 -> 144
425 <- 386
474 <- 386
16 <- 387
387 -> 89
181 <- 387
387 -> 378
394 <- 387
387 -> 440
460 <- 387
388 -> 42
173 <- 388
388 -> 197
204 <- 388
388 -> 208
232 <- 388
388 -> 254
388 -> 260
388 -> 281
311 <- 388
403 <- 388
56 <- 389
58 <- 389
389 -> 83
181 <- 389
389 -> 246
276 <- 389
307 <- 389
389 -> 473
214 <- 390
390 -> 267
462 <- 390
5 <- 391
391 -> 39
114 <- 391
391 -> 197
417 <- 391
427 <- 391
463 <- 391
3 <- 392
392 -> 456
392 -> 461
27 <- 393
393 -> 165
173 <- 393
393 -> 177
393 -> 178
270 <- 393
340 <- 393
375 <- 393
490 <- 393
21 <- 394
394 -> 75
79 <- 394
81 <- 394
126 <- 394
135 <- 394
394 -> 180
394 -> 289
394 -> 338
394 -> 348
394 -> 387
408 <- 394
394 -> 463
395 -> 47
395 -> 73
127 <- 395
395 -> 246
307 <- 395
395 -> 338
449 <- 395
395 -> 476
396 -> 30
396 -> 38
396 -> 52
106 <- 396
396 -> 131
202 <- 396
396 -> 207
396 -> 232
239 <- 396
406 <- 396
21 <- 397
397 -> 196
206 <- 397
258 <- 397
397 -> 260
492 <- 397
397 -> 495
398 -> 28
398 -> 52
398 -> 171
398 -> 287
325 <- 398
398 -> 493
399 -> 13
399 -> 38
53 <- 399
399 -> 59
71 <- 399
84 <- 399
215 <- 399
399 -> 227
399 -> 297
399 -> 384
225 <- 400
400 -> 299
400 -> 372
471 <- 400
401 -> 6
188 <- 401
233 <- 401
401 -> 258
300 <- 401
402 -> 157
165 <- 402
402 -> 174
402 -> 275
402 -> 476
24 <- 403
34 <- 403
403 -> 57
131 <- 403
403 -> 187
403 -> 250
403 -> 327
388 <- 403
428 <- 403
403 -> 434
477 <- 403
404 -> 361
404 -> 397
404 -> 429
50 <- 405
405 -> 137
159 <- 405
405 -> 207
405 -> 239
405 -> 275
405 -> 319
361 <- 405
385 <- 405
405 -> 390
405 -> 399
434 <- 405
438 <- 405
13 <- 406
64 <- 406
406 -> 81
406 -> 161
406 -> 290
406 -> 396
133 <- 407
407 -> 230
290 <- 407
304 <- 407
407 -> 320
393 <- 407
407 -> 456
408 -> 4
408 -> 79
408 -> 95
408 -> 109
408 -> 223
243 <- 408
408 -> 441
494 <- 408
106 <- 409
107 <- 409
409 -> 147
216 <- 409
409 -> 313
409 -> 329
422 <- 409
409 -> 432
410 -> 1
410 -> 30
410 -> 42
56 <- 410
410 -> 61
410 -> 63
410 -> 182
302 <- 410
410 -> 426
484 <- 410
411 -> 102
411 -> 186
411 -> 381
12 <- 412
59 <- 412
412 -> 74
168 <- 412
426 <- 412
54 <- 413
75 <- 413
85 <- 413
159 <- 413
413 -> 168
188 <- 413
191 <- 413
241 <- 413
428 <- 413
414 -> 120
270 <- 414
312 <- 414
464 <- 414
498 <- 414
89 <- 415
415 -> 140
415 -> 317
335 <- 415
415 -> 413
416 -> 106
416 -> 189
486 <- 416
417 -> 110
417 -> 129
417 -> 302
460 <- 417
418 -> 41
180 <- 418
195 <- 418
418 -> 219
424 <- 418
16 <- 419
142 <- 419
156 <- 419
419 -> 238
261 <- 419
263 <- 419
419 -> 340
419 -> 406
419 -> 488
89 <- 420
420 -> 91
184 <- 420
186 <- 420
420 -> 248
340 <- 420
487 <- 420
496 <- 420
21 <- 421
421 -> 145
192 <- 421
421 -> 209
421 -> 237
358 <- 421
484 <- 421
21 <- 422
39 <- 422
160 <- 422
178 <- 422
422 -> 191
195 <- 422
422 -> 230
422 -> 240
422 -> 266
422 -> 409
423 -> 337
423 -> 407
424 -> 2
424 -> 15
24 <- 424
424 -> 62
424 -> 170
425 -> 26
146 <- 425
466 <- 425
426 -> 55
426 -> 60
74 <- 426
426 -> 222
256 <- 426
426 -> 274
338 <- 426
374 <- 426
410 <- 426
427 -> 9
41 <- 427
174 <- 427
226 <- 427
427 -> 294
333 <- 427
419 <- 427
39 <- 428
50 <- 428
107 <- 428
428 -> 372
378 <- 428
428 -> 386
407 <- 428
428 -> 413
491 <- 428
428 -> 495
429 -> 131
429 -> 134
141 <- 429
429 -> 230
429 -> 233
429 -> 307
429 -> 310
393 <- 429
429 -> 404
429 -> 436
58 <- 430
160 <- 430
196 <- 430
270 <- 430
313 <- 430
430 -> 346
430 -> 460
430 -> 464
491 <- 430
431 -> 18
88 <- 431
431 -> 108
431 -> 200
202 <- 431
262 <- 431
431 -> 271
395 <- 431
53 <- 432
128 <- 432
432 -> 224
231 <- 432
432 -> 250
432 -> 258
283 <- 432
432 -> 332
350 <- 432
375 <- 432
409 <- 432
433 -> 253
433 -> 315
433 -> 457
466 <- 433
58 <- 434
65 <- 434
434 -> 222
435 -> 0
23 <- 435
435 -> 30
69 <- 435
139 <- 435
435 -> 160
211 <- 435
315 <- 435
435 -> 337
468 <- 435
470 <- 435
43 <- 436
436 -> 125
436 -> 144
436 -> 186
436 -> 283
7 <- 437
437 -> 25
43 <- 437
50 <- 437
181 <- 437
437 -> 299
301 <- 437
437 -> 373
423 <- 437
438 -> 2
101 <- 438
130 <- 438
405 <- 438
438 -> 454
439 -> 32
52 <- 439
66 <- 439
125 <- 439
439 -> 275
439 -> 287
320 <- 439
495 <- 439
440 -> 88
104 <- 440
440 -> 444
440 -> 445
440 -> 469
440 -> 488
441 -> 67
134 <- 441
441 -> 212
216 <- 441
330 <- 441
337 <- 441
408 <- 441
441 -> 410
441 -> 473
496 <- 441
90 <- 442
120 <- 442
139 <- 442
12 <- 443
42 <- 443
443 -> 53
443 -> 56
68 <- 443
84 <- 443
443 -> 242
443 -> 389
443 -> 471
444 -> 23
61 <- 444
444 -> 90
152 <- 444
257 <- 444
444 -> 440
158 <- 445
445 -> 165
445 -> 201
445 -> 202
445 -> 443
446 -> 10
446 -> 272
374 <- 446
446 -> 387
446 -> 489
19 <- 447
447 -> 23
90 <- 447
93 <- 447
113 <- 447
447 -> 130
183 <- 447
447 -> 191
204 <- 447
43 <- 448
146 <- 448
178 <- 448
448 -> 227
309 <- 448
294 <- 449
322 <- 449
449 -> 393
1 <- 450
450 -> 45
450 -> 111
353 <- 450
450 -> 464
0 <- 451
451 -> 77
87 <- 451
451 -> 314
44 <- 452
54 <- 452
452 -> 83
452 -> 162
168 <- 452
452 -> 337
453 -> 3
101 <- 453
163 <- 453
453 -> 169
263 <- 453
359 <- 453
435 <- 453
453 -> 446
75 <- 454
151 <- 454
245 <- 454
248 <- 454
454 -> 254
454 -> 341
454 -> 349
403 <- 454
438 <- 454
4 <- 455
455 -> 100
135 <- 455
161 <- 455
455 -> 400
456 -> 24
456 -> 67
82 <- 456
109 <- 456
456 -> 173
207 <- 456
456 -> 265
456 -> 310
383 <- 456
478 <- 456
456 -> 482
0 <- 457
457 -> 69
82 <- 457
457 -> 259
327 <- 457
458 -> 2
458 -> 161
458 -> 186
225 <- 458
226 <- 458
301 <- 458
319 <- 458
458 -> 395
23 <- 459
25 <- 459
70 <- 459
96 <- 459
221 <- 459
459 -> 245
335 <- 459
459 -> 424
459 -> 466
460 -> 49
460 -> 108
141 <- 460
460 -> 155
181 <- 460
261 <- 460
460 -> 278
460 -> 283
460 -> 326
460 -> 492
34 <- 461
461 -> 256
320 <- 461
323 <- 461
392 <- 461
461 -> 403
123 <- 462
179 <- 462
462 -> 390
428 <- 462
489 <- 462
463 -> 149
157 <- 463
463 -> 160
463 -> 184
463 -> 206
463 -> 293
463 -> 340
394 <- 463
462 <- 463
463 -> 465
8 <- 464
90 <- 464
206 <- 464
210 <- 464
275 <- 464
306 <- 464
464 -> 320
393 <- 464
402 <- 464
464 -> 482
55 <- 465
77 <- 465
465 -> 96
465 -> 117
465 -> 131
249 <- 465
269 <- 465
465 -> 303
375 <- 465
492 <- 465
20 <- 466
466 -> 81
466 -> 143
466 -> 245
367 <- 466
384 <- 466
466 -> 433
466 -> 472
54 <- 467
133 <- 467
271 <- 467
319 <- 467
369 <- 467
485 <- 467
468 -> 215
468 -> 262
286 <- 468
468 -> 305
393 <- 468
414 <- 468
468 -> 435
469 -> 14
291 <- 469
469 -> 336
377 <- 469
424 <- 469
440 <- 469
470 -> 88
470 -> 361
362 <- 470
470 -> 435
470 -> 437
470 -> 473
471 -> 242
272 <- 471
471 -> 301
471 -> 400
407 <- 471
471 -> 432
443 <- 471
472 -> 132
274 <- 472
324 <- 472
472 -> 383
473 -> 49
57 <- 473
473 -> 191
473 -> 242
441 <- 473
470 <- 473
474 -> 2
474 -> 61
191 <- 474
474 -> 198
474 -> 242
288 <- 474
474 -> 461
474 -> 483
475 -> 15
475 -> 33
475 -> 66
475 -> 149
179 <- 475
250 <- 475
475 -> 303
475 -> 374
475 -> 450
476 -> 133
226 <- 476
476 -> 340
476 -> 343
402 <- 476
476 -> 443
464 <- 476
470 <- 476
74 <- 477
140 <- 477
193 <- 477
477 -> 277
354 <- 477
477 -> 427
478 -> 21
217 <- 478
360 <- 478
424 <- 478
17 <- 479
47 <- 479
63 <- 479
101 <- 479
144 <- 479
479 -> 204
208 <- 479
367 <- 479
479 -> 373
479 -> 442
63 <- 480
480 -> 167
480 -> 193
313 <- 480
368 <- 480
43 <- 481
481 -> 120
151 <- 481
481 -> 162
481 -> 192
481 -> 211
481 -> 233
481 -> 260
294 <- 481
300 <- 481
481 -> 478
28 <- 482
482 -> 233
454 <- 482
34 <- 483
203 <- 483
259 <- 483
483 -> 310
483 -> 392
471 <- 483
484 -> 1
484 -> 58
484 -> 133
218 <- 484
484 -> 235
484 -> 276
304 <- 484
484 -> 421
63 <- 485
80 <- 485
108 <- 485
485 -> 145
485 -> 286
313 <- 485
485 -> 356
485 -> 414
453 <- 485
494 <- 485
45 <- 486
263 <- 486
486 -> 399
405 <- 486
413 <- 486
416 <- 486
486 -> 470
486 -> 498
487 -> 11
487 -> 15
487 -> 66
487 -> 118
176 <- 487
195 <- 487
420 <- 487
487 -> 431
488 -> 104
122 <- 488
345 <- 488
376 <- 488
396 <- 488
400 <- 488
405 <- 488
432 <- 488
489 -> 0
153 <- 489
489 -> 174
489 -> 230
326 <- 489
489 -> 350
489 -> 354
489 -> 389
489 -> 462
489 -> 478
495 <- 489
490 -> 14
21 <- 490
62 <- 490
84 <- 490
490 -> 278
491 -> 253
491 -> 265
430 <- 491
93 <- 492
492 -> 103
147 <- 492
492 -> 155
287 <- 492
305 <- 492
492 -> 394
492 -> 397
492 -> 415
452 <- 492
492 -> 465
492 -> 481
126 <- 493
493 -> 159
493 -> 359
54 <- 494
181 <- 494
494 -> 209
241 <- 494
304 <- 494
494 -> 324
396 <- 494
82 <- 495
495 -> 141
167 <- 495
495 -> 184
495 -> 308
495 -> 322
495 -> 372
495 -> 394
415 <- 495
428 <- 495
439 <- 495
495 -> 479
495 -> 489
99 <- 496
181 <- 496
497 -> 22
497 -> 55
497 -> 130
497 -> 202
497 -> 359
376 <- 497
381 <- 497
498 -> 348
498 -> 350
498 -> 474
496 <- 498
499 -> 131
181 <- 499
499 -> 230
238 <- 499
248 <- 499
254 <- 499
499 -> 355
499 -> 425
